,Electric Bike,TNC Availability,HRT Reliability,Post-Pandemic WFH,AV Operations
mnr_hlth_trn,0.027716452598837562,0.07243119368721614,0.4317718281804844,0.1055260763779015,0.36255444915556045
n_linc_hlth_trn,0.03458196021376461,0.06243286604729807,0.47729568630502006,0.09361616052618851,0.3320733269077288
n_mnr_hlth_trn,0.028949044184404887,0.06450118061238562,0.5177823677076735,0.09750156226306793,0.29126584523246796
inc_park_trn,0.02007139960495868,0.045401443159730805,0.5577297302006808,0.049041806880976264,0.3277556201536535
eth_park_trn,0.028286158488667536,0.062470380413666524,0.4898889353779804,0.0959636965244258,0.3233908291952598
linc_park_trn,0.03397724941558546,0.06423374702550722,0.511752314356007,0.10461722808863619,0.2854194611142641
mnr_park_trn,0.03642999379702783,0.04438453092806995,0.535036218821793,0.05326745404173687,0.3308818024113725
n_linc_park_trn,0.03304090184222097,0.08743225971202216,0.43762946907699873,0.0725059385601701,0.3693914308085881
n_mnr_park_trn,0.03233307022940952,0.04145239365953694,0.503734787606594,0.09123323859006933,0.33124650991439025
inc_jobs_trn,0.0421903720070543,0.05187929936750519,0.2736195088932172,0.398987983600926,0.23332283613129734
eth_jobs_trn,0.04123813050952685,0.05929424511636418,0.4660957720943519,0.25240206691282746,0.18096978536692962
linc_jobs_trn,0.04010151071879472,0.08093655987037848,0.3423468183282685,0.3682107542721235,0.1684043568104347
mnr_jobs_trn,0.026226383015620285,0.051082740975730644,0.3758075797943382,0.38108047481748486,0.165802821396826
n_linc_jobs_trn,0.032267396831155065,0.08144001011714844,0.3892886987848359,0.374418267114699,0.12258562715216151
n_mnr_jobs_trn,0.032772289657444914,0.05482463011695855,0.3385965633282343,0.3977999199735841,0.17600659692377818
